switch/name,switch/url,switch/price,switch/description
TTC Golden Red V3 Liner Switches,https://kbdfans.com/collections/switches/products/ttc-golden-red-v3-switches-10pcs,$4.50,It is sold as one pack of 10 switches.
TTC Golden Blue Clicky Switches,https://kbdfans.com/collections/switches/products/ttc-golden-blue-switches,$6.00,Note: sold as one pack of 10 switches. Specs Operating force: 37±5gf Durability: 80million Pre-travel: 2.2±0.3mm Tactile position: 1.0±0.3mm Total travel: 3.5±0.3mm Leaf spring: Gold contact Terminal: Gold contact Characteristics: Clicks
TTC Watermelon Milkshake Tactile Switches,https://kbdfans.com/collections/switches/products/ttc-watermelon-milkshake-switches-10-pcs,$5.50,"SPECS Name: Watermelon Milkshake (WMSwitch) Brand: KeyFirst Manufacturer: TTC KeyFirst custom switch SOLD IN QUANTITIES OF 10 PCS Large tactile ahead Clear tactile feel like cherry brown switches Gold-plated spring Product parameters: Total travel: 4.0mm Paragraph travel: 0.8mm Conduction travel: 2.0mm Paragraph pressure (0.8mm position): 55gf Conduction pressure (2.0mm position): 45gf Bottom pressure (4.0mm position): 63gf Special Process: On the premise of not affecting the performance of the product, the switch stem part is coated with oil and lubricated;"
TTC Bluish White Tactile Switches,https://kbdfans.com/collections/switches/products/ic-ttc-bluish-white-switch-10-pcs,$4.80,
Gateron Caps Gold Yellow Liner switches,https://kbdfans.com/collections/switches/products/gateron-caps-switches,$18.15,"35 per unit, come with Polycarbonate switch testing base. Specs Linear 50 cN operating force 2.0 mm pre-travel 4.0 mm total travel Plate mount 3pin MX stem Download specification documents: Click & Click"
NovelKeys x Kailh BOX Pinks Clicky Switches,https://kbdfans.com/collections/switches/products/novelkeys-x-kailh-box-pinks,$3.40,NovelKeys x Kailh Box Pinks Kailh BOX Switches. BOX switches are IP56 waterproof/dustproof. Only SMD compatible. Not compatible with other LEDS. These switches are sold in packs of 10. Quantity 1 = 10 switches. Box pink Clicky 65g operating force 1.8mm Actuation 3.6mm Bottom Plate mount 3pin MX stem Spec sheet: Click
Kailh BOX Crystal Switches,https://kbdfans.com/collections/switches/products/kailh-box-crystal-switches,$4.50,BOX Crystal Switches. BOX switches are IP56 waterproof/dustproof. Only SMD compatible. Not compatible with other LEDS. PCB Mount These switches are sold in packs of 10. Quantity 1 = 10 switches. BOX Crystal Royal – Tactile | 3.6mm travel | 40g Actuation | 70g Bottom Out BOX Crystal Jade – Clicky | 3.6mm Travel | 55g Actuation | 75g Bottom Out BOX Crystal Navy – Clicky | 3.6mm Travel | 60g Actuation | 90g Bottom Out BOX Crystal Pink – Clicky | 3.6mm Travel | 65g Actuation | 55g Bottom Out Spec sheet coming soon. Please refer to their non Crystal counterparts' spec sheets for sizing info. Crystal Jades are slightly heavier than their non-crystal counterparts.
SWITCHES *50,https://kbdfans.com/collections/switches/products/switches-50,$10.00,Friendly remind： A pack contains 50 switches
Switches x 90,https://kbdfans.com/collections/switches/products/pls-do-not-delete-switches-option,$18.00,Friendly remind: A pack contains 90 switches
SWITCHES *70,https://kbdfans.com/collections/switches/products/switches-70,$14.00,"Friendly remind: A pack contains 70 switches Q: Which kind of lube we use?A: Krytox GPL105: lube the spring. Krytox AUT2045+GPL105 Mix（7:3): lube the switches and stabilizers. Q: Which parts we lube? Spring: overall lubrication Stem: around the stem Stem legs Q: The disclaimer for our lube serviceA: In general, the switch lube service can reduce the switch noise and improve the smoothness. However, regarding the type feeling and sound, we could not satisfy every customer. Q: Shipping time?A: need to wait 2-3 weeks before shipping Sprit Spring Replacement Service 1. This product is only applicable to those who have purchased the Switch Lube Service. 2. Box switches don't support replacing the springs. 3. This Spring Replacement Service does not include Switch Lube Service."
TTC Gold Brown V3 Tactile switches,https://kbdfans.com/collections/switches/products/ttc-gold-brown-v3-switches,$5.00,Specs Tactile 55 cN operating force 2.0 mm pre travel 4.0 mm total travel Plate mount 3pin MX stem
